V1	V2
GB45281	GO:0000209;GO:0003723;GO:0004842;GO:0005634;GO:0005737;GO:0006974;GO:0007112;GO:0007283;GO:0007289;GO:0007444;GO:0007446;GO:0007455;GO:0008270;GO:0008585;GO:0030162;GO:0034450;GO:0042787;GO:0043130;GO:0045879;GO:0048749;GO:0061630;GO:0061630
GB45280	GO:0005743;GO:0005744;GO:0006626;GO:0015450;GO:0016787;GO:0030150;GO:0051087;GO:0071456;GO:0071456
GB50238	GO:0000235;GO:0003924;GO:0005200;GO:0005525;GO:0005634;GO:0005737;GO:0005813;GO:0005819;GO:0005874;GO:0007017;GO:0007094;GO:0019730;GO:0048471;GO:0000281;GO:0003924;GO:0005200;GO:0005525;GO:0005811;GO:0005874;GO:0007017;GO:0017022;GO:0048471;GO:0003924;GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0007017;GO:0007094;GO:0051298;GO:0051298
GB50239	GO:0000062;GO:0003995;GO:0005739;GO:0005811;GO:0005875;GO:0009055;GO:0017099;GO:0033539;GO:0042760;GO:0050660;GO:0052890;GO:0055088;GO:0055114;GO:0000062;GO:0003995;GO:0005739;GO:0005759;GO:0005811;GO:0005875;GO:0006635;GO:0009055;GO:0033539;GO:0050660;GO:0052890;GO:0055088;GO:0070991;GO:0000062;GO:0005739;GO:0005759;GO:0006552;GO:0008470;GO:0009055;GO:0033539;GO:0050660;GO:0052890;GO:0055088;GO:0055114;GO:0000062;GO:0003995;GO:0005739;GO:0005829;GO:0009055;GO:0033539;GO:0050660;GO:0052890;GO:0055088;GO:0055114;GO:0000062;GO:0003995;GO:0004085;GO:0005739;GO:0006635;GO:0009055;GO:0033539;GO:0046359;GO:0050660;GO:0055088;GO:0000062;GO:0001104;GO:0003995;GO:0004085;GO:0005739;GO:0006367;GO:0009055;GO:0016592;GO:0033539;GO:0046359;GO:0048813;GO:0050660;GO:0055088;GO:0055114;GO:0000062;GO:0001745;GO:0003995;GO:0005615;GO:0005739;GO:0006635;GO:0009055;GO:0016627;GO:0032504;GO:0033539;GO:0034976;GO:0050660;GO:0052890;GO:0055088;GO:1900408;GO:1900408
GB50230	GO:0004820;GO:0004827;GO:0005524;GO:0005737;GO:0005739;GO:0006426;GO:0006433;GO:0000220;GO:0015078;GO:0015991;GO:0016021;GO:0033179;GO:0033181;GO:0046961;GO:0000220;GO:0015991;GO:0016021;GO:0033179;GO:0033181;GO:0046961;GO:0000220;GO:0005886;GO:0015078;GO:0015991;GO:0016021;GO:0033179;GO:0033181;GO:0046961;GO:0000220;GO:0015991;GO:0016021;GO:0033179;GO:0033181;GO:0046961;GO:0046961
GB50231	GO:0004842;GO:0005634;GO:0005737;GO:0034657;GO:0042787;GO:0043161;GO:0043161
GB50232	GO:0005797;GO:0006487;GO:0008375;GO:0008455;GO:0009312;GO:0016021;GO:0016021
GB50237	GO:0006281;GO:0007095;GO:0070182;GO:0070182
GB40886	GO:0003723;GO:0004652;GO:0006396;GO:0016779;GO:0019233;GO:0022008;GO:0022008
GB40884	GO:0005615;GO:0005615
GB40885	GO:0000381;GO:0005634;GO:0008270;GO:0008270
GB40882	GO:0000228;GO:0002181;GO:0003735;GO:0005730;GO:0005737;GO:0005840;GO:0006412;GO:0022626;GO:0022627;GO:0070181;GO:0070181
GB40883	GO:0005737;GO:0006031;GO:0006035;GO:0006355;GO:0045177;GO:0060439;GO:0005737;GO:0006031;GO:0006035;GO:0006355;GO:0007185;GO:0016020;GO:0045177;GO:0060439;GO:0060439
GB40880	GO:0003674;GO:0005634;GO:0016567;GO:0035212;GO:0035212
GB40881	GO:0001094;GO:0001128;GO:0001129;GO:0005634;GO:0005672;GO:0006367;GO:0017025;GO:0045944;GO:0005515;GO:0005886;GO:0006901;GO:0007268;GO:0007269;GO:0008021;GO:0016021;GO:0016183;GO:0030054;GO:0030135;GO:0030139;GO:0048488;GO:0048489;GO:0048786;GO:0048788;GO:0097110;GO:0099504;GO:1900242;GO:1900242
GB40888	GO:0004222;GO:0007283;GO:0030176;GO:0071586;GO:0004222;GO:0030176;GO:0071586;GO:0004222;GO:0030176;GO:0071586;GO:0004222;GO:0007283;GO:0030176;GO:0071586;GO:0071586
GB43618	GO:0003994;GO:0005739;GO:0005811;GO:0006099;GO:0046872;GO:0051539;GO:0003994;GO:0005615;GO:0005739;GO:0006099;GO:0032504;GO:0046872;GO:0051539;GO:0051539
GB43617	GO:0004018;GO:0005829;GO:0006163;GO:0006189;GO:0044208;GO:0051262;GO:0070626;GO:0070626
GB43611	GO:0003774;GO:0005515;GO:0005524;GO:0006886;GO:0007391;GO:0016459;GO:0030175;GO:0042623;GO:0043025;GO:0046847;GO:0046847
GB46066	GO:0000723;GO:0005634;GO:0005737;GO:0005739;GO:0005886;GO:0006334;GO:0006338;GO:0006355;GO:0016590;GO:0019233;GO:0035041;GO:0035092;GO:0042393;GO:0005634;GO:0006334;GO:0006334
GB46067	GO:0005634;GO:0005975;GO:0006046;GO:0008448;GO:0046872;GO:0046872
GB41289	GO:0005737;GO:0016021;GO:0019991;GO:0035151;GO:0035151
GB46065	GO:0003674;GO:0005575;GO:0008150;GO:0003674;GO:0005737;GO:0006622;GO:0006726;GO:0006727;GO:0007601;GO:0031084;GO:0031409;GO:0048072;GO:0050896;GO:0060967;GO:0060967
GB49702	GO:0005381;GO:0005739;GO:0005743;GO:0006839;GO:0016021;GO:0048250;GO:0048515;GO:0055085;GO:0060586;GO:0060586
GB46060	GO:0005737;GO:0005929;GO:0007283;GO:0007288;GO:0007291;GO:0043204;GO:0044458;GO:0050910;GO:0050910
GB46061	GO:0000166;GO:0000245;GO:0003676;GO:0003729;GO:0015030;GO:0019233;GO:0022008;GO:0022008
GB41283	GO:0005515;GO:0005576;GO:0005886;GO:0007422;GO:0007611;GO:0007614;GO:0007616;GO:0008201;GO:0016021;GO:0016319;GO:0046914;GO:0048678;GO:0048812;GO:0050808;GO:0051602;GO:1901215;GO:0004867;GO:0004867
GB41282	GO:0001763;GO:0005622;GO:0005737;GO:0007369;GO:0007424;GO:0007426;GO:0007427;GO:0007428;GO:0007498;GO:0007507;GO:0007509;GO:0008078;GO:0008543;GO:0021782;GO:0048477;GO:0048477
GB41280	GO:0004656;GO:0005506;GO:0005783;GO:0016702;GO:0031418;GO:0055114;GO:0004656;GO:0005506;GO:0005783;GO:0012505;GO:0016702;GO:0031418;GO:0055114;GO:0004656;GO:0005506;GO:0005783;GO:0016702;GO:0016705;GO:0031418;GO:0055114;GO:0004656;GO:0005506;GO:0005783;GO:0016702;GO:0031418;GO:0055114;GO:0004656;GO:0005506;GO:0005783;GO:0016702;GO:0031418;GO:0055114;GO:0004656;GO:0005506;GO:0005783;GO:0007435;GO:0016702;GO:0031418;GO:0055114;GO:0004656;GO:0005506;GO:0005783;GO:0016702;GO:0016705;GO:0031418;GO:0055114;GO:0055114
GB41287	GO:0005768;GO:0005802;GO:0005829;GO:0006895;GO:0015031;GO:0015031
GB46068	GO:0005216;GO:0005227;GO:0005262;GO:0006816;GO:0007620;GO:0007631;GO:0007638;GO:0008016;GO:0008049;GO:0009408;GO:0009612;GO:0016021;GO:0019233;GO:0034704;GO:0035179;GO:0042048;GO:0043052;GO:0045924;GO:0048060;GO:0048266;GO:0050960;GO:0050965;GO:0050966;GO:0050974;GO:0070588;GO:0070588
GB41284	GO:0005576;GO:0008150;GO:0030414;GO:0030414
GB47627	GO:0003700;GO:0004402;GO:0005671;GO:0006338;GO:0016573;GO:0044212;GO:0045944;GO:0045944
GB47626	GO:0003824;GO:0009116;GO:0046331;GO:0046331
GB47625	GO:0001541;GO:0004222;GO:0005575;GO:0006508;GO:0008270;GO:0030713;GO:0048477;GO:2001223;GO:2001223
GB47624	GO:0001541;GO:0004222;GO:0005575;GO:0006508;GO:0008270;GO:0030713;GO:0048477;GO:2001223;GO:2001223
GB47629	GO:0005737;GO:0031987;GO:0046331;GO:0050808;GO:0071568;GO:1990592;GO:1990592
GB47628	GO:0005634;GO:0005700;GO:0005705;GO:0008270;GO:0031213;GO:0045892;GO:0070868;GO:0070868
GB46321	GO:0005096;GO:0005622;GO:0005737;GO:0006979;GO:0007265;GO:0007614;GO:0007616;GO:0008340;GO:0008344;GO:0008355;GO:0009408;GO:0019933;GO:0031235;GO:0040014;GO:0040018;GO:0042066;GO:0043547;GO:0045475;GO:0045762;GO:0045886;GO:0046578;GO:0046580;GO:0046580
GB43537	GO:0003735;GO:0005763;GO:0006412;GO:0032543;GO:0032543
GB41755	GO:0000813;GO:0003674;GO:0043162;GO:0043162
GB41754	GO:0004190;GO:0005634;GO:0005737;GO:0005829;GO:0006508;GO:0007301;GO:0043130;GO:0070628;GO:0070628
GB41753	GO:0002168;GO:0003700;GO:0005634;GO:0006355;GO:0007482;GO:0007526;GO:0007591;GO:0045433;GO:0045433
GB41759	GO:0000506;GO:0006506;GO:0017176;GO:0030176;GO:0030176
GB41758	GO:0003380;GO:0003674;GO:0004871;GO:0005834;GO:0005875;GO:0005886;GO:0007015;GO:0007186;GO:0010470;GO:0043519;GO:0045176;GO:0048383;GO:0055059;GO:0060027;GO:0061343;GO:0004871;GO:0005737;GO:0005834;GO:0005886;GO:0007186;GO:0007202;GO:0007601;GO:0007602;GO:0016028;GO:0016056;GO:0016059;GO:0046982;GO:0003674;GO:0005886;GO:0007186;GO:0007186
GB49562	GO:0001678;GO:0004340;GO:0004396;GO:0005524;GO:0005536;GO:0005829;GO:0006096;GO:0008865;GO:0019158;GO:0046835;GO:0060361;GO:0001678;GO:0004340;GO:0004396;GO:0005524;GO:0005536;GO:0005623;GO:0005829;GO:0006096;GO:0008865;GO:0010906;GO:0019158;GO:0046331;GO:0046835;GO:0001678;GO:0004340;GO:0004396;GO:0005524;GO:0005536;GO:0005829;GO:0006000;GO:0006006;GO:0006013;GO:0006096;GO:0008865;GO:0019158;GO:0046835;GO:0046835
GB46395	GO:0001666;GO:0003735;GO:0005761;GO:0005763;GO:0006412;GO:0007605;GO:0007619;GO:0007638;GO:0008049;GO:0009612;GO:0032543;GO:0032543
GB43288	GO:0001682;GO:0004526;GO:0005655;GO:0008033;GO:0030681;GO:0090502;GO:0090502
GB43285	GO:0004850;GO:0005737;GO:0009116;GO:0009166;GO:0004850;GO:0005737;GO:0009116;GO:0009166;GO:0044206;GO:0004850;GO:0005737;GO:0009116;GO:0009166;GO:0030431;GO:0042332;GO:0042332
GB43280	GO:0005543;GO:0005737;GO:0005886;GO:0006887;GO:0006937;GO:0007269;GO:0008104;GO:0032154;GO:0042052;GO:0045202;GO:0045313;GO:0048488;GO:0098793;GO:0098793
